"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Account Matching","Account matching and forecasting of packaging demand.","SAP Returnable Packaging Management","Supply Chain Management","Base","Generally Available","Generally Available","J826","","","https://discovery-center.cloud.sap/ai-feature/2fcc4e02-16bc-4c81-886b-ade4aa2a6efb/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Account Synopsis","Facilitate targeted and relevant sales conversations.","SAP Sales Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J4","","","https://discovery-center.cloud.sap/ai-feature/3b30cb7f-1819-4001-aa0e-1d1ad045c453/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Account Synopsis","Provides all the information related to an account that helps service agents.","SAP Service Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J7","","","https://discovery-center.cloud.sap/ai-feature/69270d79-572f-454e-a3a6-d3841320c6a4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Accounts Receivable","Automate clearing and recommending proposed matches by accounts receivable.","SAP Cash Application","Financial Management","Premium","Generally Available","Generally Available","J763","SAP S/4HANA 2020 FPS0","","https://discovery-center.cloud.sap/ai-feature/8adc6e0a-2994-455e-8c0d-ecb27f311afa/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Activity Summary","Generate summaries of activities.","SAP Field Service Management","Supply Chain Management","Premium","Generally Available","Generally Available","J94","","","https://discovery-center.cloud.sap/ai-feature/0fa4e6c1-fe9c-422a-95e9-cb07a9761743/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Add-in for Microsoft Excel‚ AI-assisted Planning","AI-Assisted generation of SAP IBP formulas.","SAP Integrated Business Planning","Supply Chain Management","Premium","Generally Available","Generally Available","J176","","","https://discovery-center.cloud.sap/ai-feature/ef5842b1-bae5-41cd-8b9a-0399fb1c3e7f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Advanced Skill Match","Find skilled employees for a resource request.","SAP Project and Resource Management","Supply Chain Management","Base","Generally Available","Generally Available","J124","","","https://discovery-center.cloud.sap/ai-feature/24ff1cbe-25b2-4791-aa17-a639ca0c0114/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI Knowledge Indexing","Make company documentation accessible to WalkMe AI services.","WalkMe","Technology Platform","Base","Generally Available","Generally Available","J1460","","","https://discovery-center.cloud.sap/ai-feature/e3a937c7-7938-4e38-a448-be139eafca13/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI Knowledge Referencing","Fetch curated information from company resources when conditions are met.","WalkMe","Technology Platform","Base","Generally Available","Generally Available","J1459","","","https://discovery-center.cloud.sap/ai-feature/5f7ecd57-4852-4915-933d-2a70d2bc78c7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","AI Scores","Build customer segments powered by AI.","SAP Engagement Cloud","Customer Relationship Management","Base","Generally Available","Generally Available","J837","","","https://discovery-center.cloud.sap/ai-feature/0482c3b0-8159-48c5-ad39-cd64de07394e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
